ID,Sem Conta Corrente,Conta corrente (<0),Conta corrente (<200),Conta corrente (>=200),Duração do empréstimo (meses),Histórico (Pendências em outros bancos),Histórico (Sem pendências neste banco),Histórico (Pendências honradas),Histórico (Pendências atrasadas),Histórico (Sem pendências),Propósito (Carro novo),Propósito (Carro usado),Propósito (Móveis),Propósito (Telefone),Propósito (Eletrodomésticos),Propósito (Reparos),Propósito (Educação),Propósito (Férias),Propósito (Retrainamento),Propósito (Empresarial),Propósito (Outros),Limite de crédito,Poupança (<100),Poupança (<500),Poupança (>1000),Poupança (<=1000),Poupança (Desconhecido/Sem fundos),Tempo no emprego (Desempregado),Tempo no emprego (<1ano),Tempo no emprego (<4anos),Tempo no emprego (<7anos),Tempo no emprego (>=7anos),Taxa de Juros,Gênero (M =1/F=0),Estado Civil (Solteiro),Fiadores (Sem Fiador),Fiadores (Co-requerente),Fiadores,Tempo de Residência (Anos),Propriedade (Imobiliária),Propriedade (Seguro de vida),Propriedade (Carro),Propriedade (Desconhecido/Sem propriedade),Idade,Plano de parcelamento (Bancário),Plano de parcelamento (Lojas),Plano de parcelamento (Sem plano),Moradia (Aluguel),Moradia (Própria),Moradia (Gratuita),Cartões de Crédito,Grau de Qualificação (Desempregado),Grau de Qualificação (Temporário),Grau de Qualificação (Efetivado),Grau de Qualificação (Gestor),Número de dependentes,Trabalhador estrangeiro,class
10,0,1,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1295,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,1,0,25,0,0,1,1,0,0,1,0,0,1,0,1,1,0
11,1,0,0,0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4308,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,4,0,1,0,0,24,0,0,1,1,0,0,1,0,0,1,0,1,1,0
12,0,1,0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1567,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,22,0,0,1,0,1,0,1,0,0,1,0,1,1,1
13,1,0,0,0,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1199,1,0,0,0,0,0,0,0,0,1,4,1,1,1,0,0,4,0,0,1,0,60,0,0,1,0,1,0,2,0,1,0,0,1,1,0
14,1,0,0,0,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1403,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,4,0,0,1,0,28,0,0,1,1,0,0,1,0,0,1,0,1,1,1
15,1,0,0,0,24,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1282,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0,0,2,0,0,1,0,32,0,0,1,0,1,0,1,0,1,0,0,1,1,0
16,0,0,0,1,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2424,0,0,0,0,1,0,0,0,0,1,4,1,1,1,0,0,4,0,1,0,0,53,0,0,1,0,1,0,2,0,0,1,0,1,1,1
17,1,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8072,0,0,0,0,1,0,1,0,0,0,2,1,1,1,0,0,3,0,0,1,0,25,1,0,0,0,1,0,3,0,0,1,0,1,1,1
18,0,1,0,0,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12579,1,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,2,0,0,0,1,44,0,0,1,0,0,1,1,0,0,0,1,1,1,0
19,0,0,0,1,24,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3430,0,0,1,0,0,0,0,0,0,1,3,1,1,1,0,0,2,0,0,1,0,31,0,0,1,0,1,0,1,0,0,1,0,2,1,1
20,0,0,0,1,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2134,1,0,0,0,0,0,0,1,0,0,4,1,1,1,0,0,4,0,0,1,0,48,0,0,1,0,1,0,3,0,0,1,0,1,1,1
21,1,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2647,0,0,1,0,0,0,0,1,0,0,2,1,1,1,0,0,3,1,0,0,0,44,0,0,1,1,0,0,1,0,0,1,0,2,1,1
22,1,0,0,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2241,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,3,1,0,0,0,48,0,0,1,1,0,0,2,0,1,0,0,2,0,1
23,0,1,0,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1804,0,1,0,0,0,0,1,0,0,0,3,1,1,1,0,0,4,0,1,0,0,44,0,0,1,0,1,0,1,0,0,1,0,1,1,1
24,0,0,0,1,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2069,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,1,0,0,1,0,26,0,0,1,0,1,0,2,0,0,1,0,1,0,1
25,1,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1374,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,2,1,0,0,0,36,1,0,0,0,1,0,1,0,1,0,0,1,1,1
26,0,0,0,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,426,1,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,4,0,0,1,0,39,0,0,1,0,1,0,1,0,1,0,0,1,1,1
27,0,0,1,0,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,409,0,0,0,1,0,0,0,1,0,0,3,0,0,1,0,0,3,1,0,0,0,42,0,0,1,1,0,0,2,0,0,1,0,1,1,1
28,0,1,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2415,1,0,0,0,0,0,0,1,0,0,3,1,1,0,0,1,2,1,0,0,0,34,0,0,1,0,1,0,1,0,0,1,0,1,1,1
29,1,0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6836,1,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,4,0,0,0,1,63,0,0,1,0,1,0,2,0,0,1,0,1,1,0
30,0,1,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1913,0,0,0,1,0,0,1,0,0,0,3,1,0,1,0,0,3,1,0,0,0,36,1,0,0,0,1,0,1,0,0,1,0,1,1,1
31,1,0,0,0,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4020,1,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,2,0,0,1,0,27,0,1,0,0,1,0,1,0,0,1,0,1,1,1
32,0,1,0,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5866,0,1,0,0,0,0,0,1,0,0,2,1,1,1,0,0,2,0,0,1,0,30,0,0,1,0,1,0,2,0,0,1,0,1,1,1
33,0,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1264,0,0,0,0,1,0,0,0,0,1,4,1,1,1,0,0,4,0,0,0,1,57,0,0,1,1,0,0,1,0,1,0,0,1,1,1
34,0,0,1,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1474,1,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,0,1,0,0,33,1,0,0,0,1,0,1,0,0,0,1,1,1,1
35,0,1,0,0,45,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4746,1,0,0,0,0,0,1,0,0,0,4,1,1,1,0,0,2,0,1,0,0,25,0,0,1,0,1,0,2,0,1,0,0,1,1,0
36,0,0,0,1,48,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6110,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,3,0,0,0,1,31,1,0,0,0,0,1,1,0,0,1,0,1,1,1
37,0,0,1,0,18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2100,1,0,0,0,0,0,0,1,0,0,4,1,1,0,1,0,2,1,0,0,0,37,0,1,0,0,1,0,1,0,0,1,0,1,1,0
38,0,0,1,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1225,1,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,2,0,0,1,0,37,0,0,1,0,1,0,1,0,0,1,0,1,1,1
39,0,1,0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,458,1,0,0,0,0,0,0,1,0,0,4,1,1,1,0,0,3,1,0,0,0,24,0,0,1,0,1,0,1,0,0,1,0,1,1,1
40,0,0,0,1,30,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2333,0,0,1,0,0,0,0,0,0,1,4,1,1,1,0,0,2,0,0,1,0,30,1,0,0,0,1,0,1,0,0,0,1,1,1,1
41,0,1,0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1158,0,0,1,0,0,0,0,1,0,0,3,1,0,1,0,0,1,0,0,1,0,26,0,0,1,0,1,0,1,0,0,1,0,1,1,1
42,0,1,0,0,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6204,1,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,4,1,0,0,0,44,0,0,1,0,1,0,1,0,1,0,0,2,1,1
43,1,0,0,0,30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6187,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,4,0,0,1,0,24,0,0,1,1,0,0,2,0,0,1,0,1,1,1
44,1,0,0,0,48,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6143,1,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,4,0,0,0,1,58,0,1,0,0,0,1,2,0,1,0,0,1,1,0
45,0,0,0,1,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1393,1,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,4,0,0,1,0,35,0,0,1,0,1,0,2,0,0,0,1,1,1,1
46,0,0,0,1,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2299,0,0,1,0,0,0,0,0,0,1,4,1,1,1,0,0,4,0,0,1,0,39,0,0,1,0,1,0,1,0,0,1,0,1,1,1
47,1,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1352,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,23,0,0,1,1,0,0,1,1,0,0,0,1,1,1
48,0,0,0,1,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7228,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,4,0,1,0,0,39,0,0,1,0,1,0,2,0,1,0,0,1,1,1
49,0,0,0,1,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2073,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,0,2,1,0,0,0,28,0,0,1,0,1,0,1,0,0,1,0,1,1,1
50,0,1,0,0,24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2333,0,0,0,0,1,0,1,0,0,0,4,1,1,1,0,0,2,0,1,0,0,29,1,0,0,0,1,0,1,0,1,0,0,1,1,1
51,0,1,0,0,27,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5965,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,0,0,1,0,30,0,0,1,0,1,0,2,0,0,0,1,1,1,1
52,0,0,0,1,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1262,1,0,0,0,0,0,0,1,0,0,3,1,1,1,0,0,2,0,0,1,0,25,0,0,1,0,1,0,1,0,0,1,0,1,1,1
53,0,0,0,1,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3378,0,0,0,0,1,0,0,1,0,0,2,1,1,1,0,0,1,0,1,0,0,31,0,0,1,0,1,0,1,0,0,1,0,1,1,1
54,0,1,0,0,36,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2225,1,0,0,0,0,0,0,0,0,1,4,1,1,1,0,0,4,0,0,0,1,57,1,0,0,0,0,1,2,0,0,1,0,1,1,0
55,0,0,0,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,783,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,2,1,0,0,0,26,0,1,0,0,1,0,1,0,1,0,0,2,1,1
56,0,1,0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6468,0,0,0,0,1,1,0,0,0,0,2,1,1,1,0,0,1,0,0,0,1,52,0,0,1,0,1,0,1,0,0,0,1,1,1,0
57,0,0,0,1,36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9566,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,31,0,1,0,0,1,0,2,0,0,1,0,1,1,1
58,0,0,1,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1961,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,2,0,0,1,0,23,0,0,1,0,1,0,1,0,0,0,1,1,1,1
59,1,0,0,0,36,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6229,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,4,0,0,0,1,23,0,0,1,1,0,0,2,0,1,0,0,1,1,0
60,0,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1391,1,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,1,1,0,0,0,27,1,0,0,0,1,0,1,0,0,1,0,1,1,1
61,0,1,0,0,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1537,0,0,0,0,1,0,0,0,0,1,4,1,1,0,0,1,4,1,0,0,0,50,0,0,1,0,1,0,2,0,0,1,0,1,1,1
62,0,1,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1953,1,0,0,0,0,0,0,0,0,1,4,1,1,1,0,0,4,0,0,0,1,61,0,0,1,0,0,1,1,0,0,0,1,1,1,0
63,0,1,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14421,1,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,2,0,0,1,0,25,0,0,1,0,1,0,1,0,0,1,0,1,1,0
64,0,0,0,1,24,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3181,1,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,4,0,1,0,0,26,0,0,1,0,1,0,1,0,0,1,0,1,1,1
65,0,0,0,1,27,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5190,0,0,0,0,1,0,0,0,0,1,4,1,1,1,0,0,4,0,1,0,0,48,0,0,1,0,1,0,4,0,0,1,0,2,1,1
66,0,0,0,1,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2171,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,29,1,0,0,0,1,0,1,0,0,1,0,1,1,1
67,0,1,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1007,0,0,0,1,0,0,0,1,0,0,4,1,0,1,0,0,1,1,0,0,0,22,0,0,1,0,1,0,1,0,0,1,0,1,1,1
68,0,0,0,1,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1819,1,0,0,0,0,0,0,1,0,0,4,1,1,1,0,0,4,0,0,0,1,37,0,1,0,0,0,1,1,0,0,1,0,1,1,0
69,0,0,0,1,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2394,0,0,0,0,1,0,0,1,0,0,4,0,0,1,0,0,4,0,0,1,0,25,0,0,1,0,1,0,1,0,0,1,0,1,1,1
70,0,0,0,1,36,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8133,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,1,0,0,30,1,0,0,0,1,0,1,0,0,1,0,1,1,1
71,0,0,0,1,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,730,0,0,0,0,1,0,0,0,0,1,4,1,1,1,0,0,2,0,1,0,0,46,0,0,1,1,0,0,2,0,1,0,0,1,1,1
72,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1164,1,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,4,0,0,0,1,51,1,0,0,0,0,1,2,0,0,0,1,2,1,1
73,0,1,0,0,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5954,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,41,1,0,0,0,1,0,2,0,1,0,0,1,1,1
74,1,0,0,0,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1977,0,0,0,0,1,0,0,0,0,1,4,1,1,1,0,0,4,0,0,0,1,40,0,0,1,0,1,0,1,0,0,0,1,1,1,0
75,1,0,0,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1526,1,0,0,0,0,0,0,0,0,1,4,1,1,1,0,0,4,0,0,0,1,66,0,0,1,0,0,1,2,0,0,0,1,1,1,1
76,1,0,0,0,42,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3965,1,0,0,0,0,0,1,0,0,0,4,1,1,1,0,0,3,0,0,1,0,34,0,0,1,0,1,0,1,0,0,1,0,1,1,0
77,0,1,0,0,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4771,1,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,4,0,1,0,0,51,0,0,1,0,1,0,1,0,0,1,0,1,1,1
78,0,0,0,1,54,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9436,0,0,0,0,1,0,0,1,0,0,2,1,1,1,0,0,2,0,1,0,0,39,0,0,1,0,1,0,1,0,1,0,0,2,1,1
79,0,1,0,0,30,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3832,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,1,0,0,22,0,0,1,0,1,0,1,0,0,1,0,1,1,1
80,0,0,0,1,24,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5943,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,44,0,0,1,0,1,0,2,0,0,1,0,1,1,0
81,0,0,0,1,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1213,0,0,1,0,0,0,0,0,0,1,4,1,1,1,0,0,3,0,1,0,0,47,0,1,0,0,1,0,1,0,0,1,0,1,1,1
82,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1568,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,4,0,1,0,0,24,0,0,1,1,0,0,1,0,1,0,0,1,1,1
83,1,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1755,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,4,1,0,0,0,58,0,0,1,0,1,0,1,0,1,0,0,1,1,1
84,1,0,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2315,1,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,4,1,0,0,0,52,0,0,1,0,1,0,1,0,1,0,0,1,1,1
85,0,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1412,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,2,1,0,0,0,29,0,0,1,0,1,0,2,0,0,0,1,1,1,1
86,0,1,0,0,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1295,1,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,0,1,0,0,27,0,0,1,0,1,0,2,0,0,1,0,1,1,1
87,0,1,0,0,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12612,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,4,0,0,0,1,47,0,0,1,0,0,1,1,0,0,1,0,2,1,0
88,1,0,0,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2249,0,1,0,0,0,0,0,0,1,0,4,1,1,1,0,0,3,0,0,1,0,30,0,0,1,0,1,0,1,0,0,0,1,2,1,1
89,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1108,1,0,0,0,0,0,0,0,1,0,4,1,1,1,0,0,3,1,0,0,0,28,0,0,1,0,1,0,2,0,0,1,0,1,1,0
90,0,0,0,1,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,618,1,0,0,0,0,0,0,0,0,1,4,1,1,1,0,0,4,1,0,0,0,56,0,0,1,0,1,0,1,0,0,1,0,1,1,1
91,1,0,0,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1409,1,0,0,0,0,0,0,0,0,1,4,1,1,1,0,0,3,1,0,0,0,54,0,0,1,0,1,0,1,0,0,1,0,1,1,1
92,0,0,0,1,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,797,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,3,0,1,0,0,33,1,0,0,0,1,0,1,0,1,0,0,2,1,0
93,0,0,1,0,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3617,0,0,0,0,1,0,0,0,0,1,4,1,1,0,1,0,4,0,0,0,1,20,0,0,1,1,0,0,2,0,0,1,0,1,1,1
94,0,1,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1318,0,0,0,1,0,0,0,0,0,1,4,1,1,1,0,0,4,1,0,0,0,54,0,0,1,0,1,0,1,0,0,1,0,1,1,1
95,0,1,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15945,1,0,0,0,0,0,1,0,0,0,3,1,1,1,0,0,4,0,0,0,1,58,0,0,1,1,0,0,1,0,0,1,0,1,1,0
96,0,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,0,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,2,0,0,1,0,61,0,0,1,0,1,0,1,0,0,1,0,1,1,1
97,0,1,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2622,0,1,0,0,0,0,0,1,0,0,4,1,1,1,0,0,4,0,0,1,0,34,0,0,1,0,1,0,1,0,0,1,0,1,1,1
98,0,1,0,0,36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2337,1,0,0,0,0,0,0,0,0,1,4,1,1,1,0,0,4,1,0,0,0,36,0,0,1,0,1,0,1,0,0,1,0,1,1,1
99,0,1,0,0,20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7057,0,0,0,0,1,0,0,0,1,0,3,1,1,1,0,0,4,0,1,0,0,36,1,0,0,1,0,0,2,0,0,0,1,2,1,1
100,0,0,0,1,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1469,0,1,0,0,0,0,0,0,0,1,4,1,0,1,0,0,4,1,0,0,0,41,0,0,1,1,0,0,1,0,1,0,0,1,1,1
101,0,1,0,0,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2323,1,0,0,0,0,0,0,0,1,0,4,1,1,1,0,0,4,0,0,1,0,24,0,0,1,1,0,0,1,0,0,1,0,1,1,1
102,0,0,0,1,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,932,1,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,2,1,0,0,0,24,0,0,1,0,1,0,1,0,0,1,0,1,1,1
103,0,1,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1919,1,0,0,0,0,0,0,0,1,0,4,1,1,1,0,0,3,0,0,1,0,35,0,0,1,1,0,0,1,0,0,1,0,1,1,1
104,0,0,0,1,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2445,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,0,4,0,0,1,0,26,0,0,1,1,0,0,1,0,0,1,0,1,1,1
105,0,1,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11938,1,0,0,0,0,0,0,1,0,0,2,1,1,0,1,0,3,0,0,1,0,39,0,0,1,0,1,0,2,0,0,0,1,2,1,0
